,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
GNRC UN Equity,GENERAC HOLDINGS INC,US,USD,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,8733362702
GNW UN Equity,GENWORTH FINANCIAL INC,US,USD,Financials,Insurance,Insurance,Life & Health Insurance,3478604739
GOOG UW Equity,ALPHABET INC-CL C,US,USD,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,3.86276E+12
GOOGL UW Equity,ALPHABET INC-CL A,US,USD,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,3.86276E+12
GPC UN Equity,GENUINE PARTS CO,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Distributors,Distributors,18064889530
GPN UN Equity,GLOBAL PAYMENTS INC,US,USD,Financials,Financial Services,Financial Services,Transaction & Payment Processi,17748676389
GR UN Equity,GOODRICH CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GRMN UN Equity,GARMIN LTD,SZ,USD,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics,37464896861
GRMN UW Equity,GARMIN LTD,SZ,USD,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics,#N/A N/A
GS UN Equity,GOLDMAN SACHS GROUP INC,US,USD,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,2.54171E+11
GSK LN Equity,GSK PLC,GB,GBp,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,74001931966
GT UN Equity,GOODYEAR TIRE & RUBBER CO,US,USD,Consumer Discretionary,Automobiles & Components,Automobile Components,Tires & Rubber,2412336463
GT UW Equity,GOODYEAR TIRE & RUBBER CO,US,USD,Consumer Discretionary,Automobiles & Components,Automobile Components,Tires & Rubber,2415198072
GTW UN Equity,GATEWAY INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GWW UN Equity,WW GRAINGER INC,US,USD,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,44938878399
HAL UN Equity,HALLIBURTON CO,US,USD,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,21705550272
HAR UN Equity,HARMAN INTERNATIONAL,US,USD,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics,#N/A N/A
HAS US Equity,HASBRO INC,US,USD,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,11601661691
HAS UW Equity,HASBRO INC,US,USD,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,11601661691
HBAN UQ Equity,HUNTINGTON BANCSHARES INC,US,USD,Financials,Banks,Banks,Regional Banks,25472642265
HBAN UW Equity,HUNTINGTON BANCSHARES INC,US,USD,Financials,Banks,Banks,Regional Banks,25472642265
HBI UN Equity,HANESBRANDS INC,US,USD,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury",2331556215
HBOS LN Equity,HBOS PLC,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HCA UN Equity,HCA HEALTHCARE INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Facilities,1.17465E+11
HCBK UW Equity,HUDSON CITY BANCORP INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HD UN Equity,HOME DEPOT INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Home Improvement Retail,3.53874E+11
HES UN Equity,HESS CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,#N/A N/A
HET UN Equity,CAESARS ENTERTAINMENT CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HFC UN Equity,HOLLYFRONTIER CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,#N/A N/A
HIBU LN Equity,HIBU PLC,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HIG UN Equity,HARTFORD INSURANCE GROUP INC,US,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,38283763618
HII UN Equity,HUNTINGTON INGALLS INDUSTRIE,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,12333975121
HIK LN Equity,HIKMA PHARMACEUTICALS PLC,GB,GBp,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,3461428667
HL/ LN Equity,HARGREAVES LANSDOWN LTD,GB,GBp,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,#N/A N/A
HLMA LN Equity,HALMA PLC,GB,GBp,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum,13705196485
HLN LN Equity,HALEON PLC,GB,GBp,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,33025015320
HLT UN Equity,HILTON WORLDWIDE HOLDINGS IN,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",66422997388
HMSO LN Equity,HAMMERSON PLC,GB,GBp,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs,1683550952
HNS LN Equity,HANSON LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HNZ UN Equity,KRAFT HEINZ FOODS CO,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HOG UN Equity,HARLEY-DAVIDSON INC,US,USD,Consumer Discretionary,Automobiles & Components,Automobiles,Motorcycle Manufacturers,2882661457
HOLX UW Equity,HOLOGIC INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,16673311054
HON UN Equity,HONEYWELL INTERNATIONAL INC,US,USD,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,1.20629E+11
HON UW Equity,HONEYWELL INTERNATIONAL INC,US,USD,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,1.20622E+11
HOT UN Equity,STARWOOD HOTELS & RESORTS WO,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",#N/A N/A
HP UN Equity,HELMERICH & PAYNE,US,USD,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling,2729973383
HPC US Equity,HERCULES LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HPE UN Equity,HEWLETT PACKARD ENTERPRISE,US,USD,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",28407759835
HPQ UN Equity,HP INC,US,USD,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",22414150387
HRB UN Equity,H&R BLOCK INC,US,USD,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,5274463725
HRL UN Equity,HORMEL FOODS CORP,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,12776463599
HSBA LN Equity,HSBC HOLDINGS PLC,GB,GBp,Financials,Banks,Banks,Diversified Banks,1.82813E+11
HSH UN Equity,HILLSHIRE BRANDS CO/THE,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,#N/A N/A
HSIC UW Equity,HENRY SCHEIN INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors,8858791727
HSP UN Equity,HOSPIRA INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,#N/A N/A
HST UN Equity,HOST HOTELS & RESORTS INC,US,USD,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs,Hotel & Resort REITs,12192734498
HST UW Equity,HOST HOTELS & RESORTS INC,US,USD,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs,Hotel & Resort REITs,12199611393
HSV LN Equity,HOMESERVE LTD,GB,GBp,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services,#N/A N/A
HSX LN Equity,HISCOX LTD,BD,GBp,Financials,Insurance,Insurance,Property & Casualty Insurance,4361764766
HSY UN Equity,HERSHEY CO/THE,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,38164159960
HUBB UN Equity,HUBBELL INC,US,USD,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,22770931889
HUM UN Equity,HUMANA INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care,29585971997
HWDN LN Equity,HOWDEN JOINERY GROUP PLC,GB,GBp,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,4495572850
HWM UN Equity,HOWMET AEROSPACE INC,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,82274000673
IAG LN Equity,INTL CONSOLIDATED AIRLINE-DI,GB,GBp,Industrials,Transportation,Passenger Airlines,Passenger Airlines,18258815791
IAP LN Equity,NEX INTERNATIONAL LTD,GB,GBp,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,#N/A N/A
IBM UN Equity,INTL BUSINESS MACHINES CORP,US,USD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,2.83421E+11
ICE UN Equity,INTERCONTINENTAL EXCHANGE IN,US,USD,Financials,Financial Services,Capital Markets,Financial Exchanges & Data,89113211050
ICG LN Equity,ICG PLC,GB,GBp,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,5993023420
ICI LN Equity,IMPERIAL CHEMICAL INDUSTRIES,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
IDS LN Equity,INTERNATIONAL DISTRIBUTION S,GB,GBp,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,#N/A N/A
IDXX UW Equity,IDEXX LABORATORIES INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,60364411427
IEX UN Equity,IDEX CORP,US,USD,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,13005837999
IFF UN Equity,INTL FLAVORS & FRAGRANCES,US,USD,Materials,Materials,Chemicals,Specialty Chemicals,17870405327
IHG LN Equity,INTERCONTINENTAL HOTELS GROU,GB,GBp,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",15412951010
III LN Equity,3I GROUP PLC,GB,GBp,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,32243575255
ILMN UW Equity,ILLUMINA INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,19834968000
IMB LN Equity,IMPERIAL BRANDS PLC,GB,GBp,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco,26274681632
IMI LN Equity,IMI PLC,GB,GBp,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,5923159205
INCY UW Equity,INCYTE CORP,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,20741493572
INF LN Equity,INFORMA PLC,GB,GBp,Communication Services,Media & Entertainment,Media,Advertising,12192186108
INTC UQ Equity,INTEL CORP,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,1.75584E+11
INTC UW Equity,INTEL CORP,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,1.75584E+11
INTU LN Equity,INTU PROPERTIES PLC,GB,GBp,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs,#N/A N/A
INTU UQ Equity,INTUIT INC,US,USD,Information Technology,Software & Services,Software,Application Software,1.75071E+11
INTU UW Equity,INTUIT INC,US,USD,Information Technology,Software & Services,Software,Application Software,1.75071E+11
INVH UN Equity,INVITATION HOMES INC,US,USD,Real Estate,Equity Real Estate Investment,Residential REITs,Single-Family Residential REIT,17121665051
INVP LN Equity,INVESTEC PLC,SA,GBp,Financials,Financial Services,Capital Markets,Diversified Capital Markets,5119439052
IP UN Equity,INTERNATIONAL PAPER CO,US,USD,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod,20783588157
IPG UN Equity,INTERPUBLIC GROUP OF COS INC,US,USD,Communication Services,Media & Entertainment,Media,Advertising,8882027432
IPGP UW Equity,IPG PHOTONICS CORP,US,USD,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Manufacturing Servi,3307193003
IPR LN Equity,INTERNATIONAL POWER LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
IQV UN Equity,IQVIA HOLDINGS INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,39475540000
IR UN Equity,INGERSOLL-RAND INC,US,USD,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,31557467249
IRM UN Equity,IRON MOUNTAIN INC,US,USD,Real Estate,Equity Real Estate Investment,Specialized REITs,Other Specialized REITs,25485725914
ISAT LN Equity,INMARSAT PLC,GB,GBp,Communication Services,Telecommunication Services,Diversified Telecommunication,Alternative Carriers,#N/A N/A
ISRG UW Equity,INTUITIVE SURGICAL INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,2.03562E+11
ISYS LN Equity,INVENSYS LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
IT UN Equity,GARTNER INC,US,USD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,16667839781
ITRK LN Equity,INTERTEK GROUP PLC,GB,GBp,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,7154991999
ITT UN Equity,ITT INC,US,USD,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,14375400000
ITV LN Equity,ITV PLC,GB,GBp,Communication Services,Media & Entertainment,Media,Broadcasting,3053528740
ITW UN Equity,ILLINOIS TOOL WORKS,US,USD,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,72231999000
IVZ LN Equity,INVESCO LTD,US,GBp,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,#N/A N/A
IVZ UN Equity,INVESCO LTD,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,10918128837
J UN Equity,JACOBS SOLUTIONS INC,US,USD,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,16133261149
JBHT UW Equity,HUNT (JB) TRANSPRT SVCS INC,US,USD,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation,16510861196
JBL UN Equity,JABIL INC,US,USD,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Manufacturing Servi,22139901347
JCI UN Equity,JOHNSON CONTROLS INTERNATION,US,USD,Industrials,Capital Goods,Building Products,Building Products,71068965320
JD/ LN Equity,JD SPORTS FASHION PLC,GB,GBp,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail,3819056552
JE/ LN Equity,JUST EAT LTD/UNITED KINGDOM,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JEF UN Equity,JEFFERIES FINANCIAL GROUP IN,US,USD,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,11805421340
JET LN Equity,JUST EAT TAKEAWAY,NE,GBp,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,#N/A N/A
JKHY UW Equity,JACK HENRY & ASSOCIATES INC,US,USD,Financials,Financial Services,Financial Services,Transaction & Payment Processi,12587830797
JMAT LN Equity,JOHNSON MATTHEY PLC,GB,GBp,Materials,Materials,Chemicals,Specialty Chemicals,3300614969
JNJ UN Equity,JOHNSON & JOHNSON,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,5.00073E+11
JNPR UN Equity,JUNIPER NETWORKS INC,US,USD,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment,#N/A N/A
JNPR UW Equity,JUNIPER NETWORKS INC,US,USD,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment,#N/A N/A
JNS UN Equity,JANUS HENDERSON US HOLDINGS,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,#N/A N/A
JNY UN Equity,JONES GROUP INC/THE,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JOY UN Equity,KOMATSU MINING CORP,US,USD,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,#N/A N/A
JPM UN Equity,JPMORGAN CHASE & CO,US,USD,Financials,Banks,Banks,Diversified Banks,8.37477E+11
JWN UN Equity,NORDSTROM INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,#N/A N/A
K UN Equity,KELLANOVA,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,29087167784
KATE UN Equity,KATE SPADE & CO LLC,US,USD,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury",#N/A N/A
KAZ LN Equity,KAZ MINERALS PLC,GB,GBp,Materials,Materials,Metals & Mining,Copper,#N/A N/A
KBH UN Equity,KB HOME,US,USD,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,4195456294
KDP UN Equity,KEURIG DR PEPPER INC,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be,37605580900
KDP UW Equity,KEURIG DR PEPPER INC,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be,37605580900
KEL LN Equity,KELDA GROUP LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KEY UN Equity,KEYCORP,US,USD,Financials,Banks,Banks,Diversified Banks,20109720438
KEYS UN Equity,KEYSIGHT TECHNOLOGIES IN,US,USD,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum,33587728000
KGF LN Equity,KINGFISHER PLC,GB,GBp,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Home Improvement Retail,5226283708
KHC UW Equity,KRAFT HEINZ CO/THE,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,30301582822
KIM UN Equity,KIMCO REALTY CORP,US,USD,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs,14011261689
KKR UN Equity,KKR & CO INC,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,1.07702E+11
KLAC UQ Equity,KLA CORP,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi,1.52293E+11
KLAC UW Equity,KLA CORP,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi,1.52293E+11
KMB UN Equity,KIMBERLY-CLARK CORP,US,USD,Consumer Staples,Household & Personal Products,Household Products,Household Products,35955200623
KMI UN Equity,KINDER MORGAN INC,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta,59957292511
KMX UN Equity,CARMAX INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail,5609480643
KO UN Equity,COCA-COLA CO/THE,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be,3.13501E+11
KR UN Equity,KROGER CO,US,USD,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail,44419320550
KRB UN Equity,MBNA CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KRFT UW Equity,KRAFT FOODS GROUP INC,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,#N/A N/A
KRI UN Equity,KNIGHT RIDDER INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KSE UN Equity,KEYSPAN CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KSS UN Equity,KOHLS CORP,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,2700999860
KSU UN Equity,KANSAS CITY SOUTHERN,US,USD,Industrials,Transportation,Ground Transportation,Rail Transportation,#N/A N/A
KVUE UN Equity,KENVUE INC,US,USD,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products,32990113367
L UN Equity,LOEWS CORP,US,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,22372964723
LAND LN Equity,LAND SECURITIES GROUP PLC,GB,GBp,Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs,4563069103
LCL LN Equity,LADBROKES CORAL GROUP LTD,GB,GBp,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,#N/A N/A
LDOS UN Equity,LEIDOS HOLDINGS INC,US,USD,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,24338510542
LEG UN Equity,LEGGETT & PLATT INC,US,USD,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,1373323899
LEHMQ UN Equity,LEHMAN BROTHERS HOLDINGS INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
LEN UN Equity,LENNAR CORP-A,US,USD,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,33259468877
LGEN LN Equity,LEGAL & GENERAL GROUP PLC,GB,GBp,Financials,Insurance,Insurance,Life & Health Insurance,13986364434
LH UN Equity,LABCORP HOLDINGS INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,22239583000
LHX UN Equity,L3HARRIS TECHNOLOGIES INC,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,51652773171
LII UN Equity,LENNOX INTERNATIONAL INC,US,USD,Industrials,Capital Goods,Building Products,Building Products,17304910639
LIN UN Equity,LINDE PLC,US,USD,Materials,Materials,Chemicals,Industrial Gases,1.90487E+11
LIN UW Equity,LINDE PLC,US,USD,Materials,Materials,Chemicals,Industrial Gases,1.90468E+11
LKQ UW Equity,LKQ CORP,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Distributors,Distributors,7571474457
LLOY LN Equity,LLOYDS BANKING GROUP PLC,GB,GBp,Financials,Banks,Banks,Diversified Banks,55293768380
LLTC UQ Equity,LINEAR TECHNOLOGY CORP,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,#N/A N/A
LLTC UW Equity,LINEAR TECHNOLOGY CORP,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,#N/A N/A
LLY UN Equity,ELI LILLY & CO,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,1.04403E+12
LM UN Equity,LEGG MASON INC,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,#N/A N/A
LMI LN Equity,SIBANYE UK LTD,SA,GBp,Materials,Materials,Metals & Mining,Precious Metals & Minerals,#N/A N/A
LMP LN Equity,LONDONMETRIC PROPERTY PLC,GB,GBp,Real Estate,Equity Real Estate Investment,Industrial REITs,Industrial REITs,4461891640
LMT UN Equity,LOCKHEED MARTIN CORP,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,1.05092E+11
LNC UN Equity,LINCOLN NATIONAL CORP,US,USD,Financials,Insurance,Insurance,Life & Health Insurance,7853979718
LNT UN Equity,ALLIANT ENERGY CORP,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,17785544742
LNT UW Equity,ALLIANT ENERGY CORP,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,17782974205
LO UN Equity,LORILLARD INC,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco,#N/A N/A
LOW UN Equity,LOWE'S COS INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Home Improvement Retail,1.35531E+11
LPX UN Equity,LOUISIANA-PACIFIC CORP,US,USD,Materials,Materials,Paper & Forest Products,Forest Products,5675942072
LRCX UW Equity,LAM RESEARCH CORP,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi,1.9486E+11
LSEG LN Equity,LONDON STOCK EXCHANGE GROUP,GB,GBp,Financials,Financial Services,Capital Markets,Financial Exchanges & Data,45694427090
LULU UW Equity,LULULEMON ATHLETICA INC,CA,USD,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury",21575180783
LUMN UN Equity,LUMEN TECHNOLOGIES INC,US,USD,Communication Services,Telecommunication Services,Diversified Telecommunication,Alternative Carriers,8297457857
LUV UN Equity,SOUTHWEST AIRLINES CO,US,USD,Industrials,Transportation,Passenger Airlines,Passenger Airlines,18131457105
LVLT UN Equity,LEVEL 3 COMMUNICATIONS INC,US,USD,Communication Services,Telecommunication Services,Diversified Telecommunication,Alternative Carriers,#N/A N/A
LVS UN Equity,LAS VEGAS SANDS CORP,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,46146178738
LW UN Equity,LAMB WESTON HOLDINGS INC,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,8306801333
LXK UN Equity,LEXMARK INTERNATIONAL INC-A,US,USD,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",#N/A N/A
LYB UN Equity,LYONDELLBASELL INDU-CL A,US,USD,Materials,Materials,Chemicals,Commodity Chemicals,15585088917
LYV UN Equity,LIVE NATION ENTERTAINMENT IN,US,USD,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,30762840157
M UN Equity,MACY'S INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,6022583995
MA UN Equity,MASTERCARD INC - A,US,USD,Financials,Financial Services,Financial Services,Transaction & Payment Processi,4.89345E+11
MAA UN Equity,MID-AMERICA APARTMENT COMM,US,USD,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs,15865746858
MAC UN Equity,MACERICH CO/THE,US,USD,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs,4415475768
MAR UN Equity,MARRIOTT INTERNATIONAL -CL A,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",81780209526
MAR UW Equity,MARRIOTT INTERNATIONAL -CL A,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",81753374347
MAS UN Equity,MASCO CORP,US,USD,Industrials,Capital Goods,Building Products,Building Products,13379751905
MAT UN Equity,MATTEL INC,US,USD,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,6599838000
MAT UW Equity,MATTEL INC,US,USD,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,6601392000
MBI UN Equity,MBIA INC,US,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,380721940
MCD UN Equity,MCDONALD'S CORP,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,2.22477E+11
